WeightNotToExceed,81,82
Letter,22.75,23.5
1,37,38
2,41.25,43.5
3,45.25,48.75
4,48.75,53.25
5,52,57.25
6,55.25,61.25
7,58.25,65
8,61,68.25
9,63.75,71.5
10,66.5,75
11,69.25,78.5
12,72.25,81.75
13,75.25,85
14,78.25,88.25
15,81.25,91.5
16,84.25,95.25
17,87.25,99
18,90.25,102.75
19,93.25,106.25
20,96.25,109.5
21,99.25,112.5
22,102,115.5
23,104.75,118.5
24,107.5,121.5
25,110.25,124.25
26,113,127
27,115.75,129.5
28,118.5,132
29,121,134.5
30,123.25,137
31,125.5,139.5
32,127.75,142
33,130,144.5
34,132.25,147
35,134.5,149.5
36,137,152
37,139.5,154.5
38,142,156.75
39,144.5,158.75
40,147,160.75
41,149.25,162.75
42,151.5,164.75
43,153.75,166.75
44,156,168.75
45,158.25,170.75
46,160.5,172.5
47,162.75,174.25
48,165,176
49,167.25,177.75
50,169.5,179.5
51,169.5,179.5
52,173.5,183.25
53,173.5,183.25
54,177.5,187
55,177.5,187
56,181.5,190.75
57,181.5,190.75
58,185.5,194.5
59,185.5,194.5
60,189.5,198.25
61,189.5,198.25
62,193.5,202
63,193.5,202
64,197.5,205.75
65,197.5,205.75
66,201.5,209.25
67,201.5,209.25
68,205.5,212.75
69,205.5,212.75
70,209.5,216.25
71,209.5,216.25
72,213.25,219.75
73,213.25,219.75
74,217,223.25
75,217,223.25
76,220.75,226.75
77,220.75,226.75
78,224.5,230.25
79,224.5,230.25
80,228.25,233.75
81,228.25,233.75
82,232,237.25
83,232,237.25
84,235.75,241
85,235.75,241
86,239.25,244.75
87,239.25,244.75
88,242.75,248.5
89,242.75,248.5
90,246.25,252.25
91,246.25,252.25
92,249.5,256
93,249.5,256
94,252.75,259.75
95,252.75,259.75
96,256,263.5
97,256,263.5
98,259.25,267.25
99,259.25,267.25
100,262.5,271
101,262.5,271
102,262.5,271
103,262.5,271
104,262.5,271
105,274,284.5
106,274,284.5
107,274,284.5
108,274,284.5
109,274,284.5
110,285.5,298
111,285.5,298
112,285.5,298
113,285.5,298
114,285.5,298
115,297,311.5
116,297,311.5
117,297,311.5
118,297,311.5
119,297,311.5
120,308.5,325
121,308.5,325
122,308.5,325
123,308.5,325
124,308.5,325
125,320,338.5
126,320,338.5
127,320,338.5
128,320,338.5
129,320,338.5
130,331.5,352
131,331.5,352
132,331.5,352
133,331.5,352
134,331.5,352
135,343,365.5
136,343,365.5
137,343,365.5
138,343,365.5
139,343,365.5
140,354.5,379
141,354.5,379
142,354.5,379
143,354.5,379
144,354.5,379
145,366,392.5
146,366,392.5
147,366,392.5
148,366,392.5
149,366,392.5
150,377.5,406
151,380.52,410.72
152,383.04,413.44
153,385.56,416.16
154,388.08,418.88
155,390.6,421.6
156,393.12,424.32
157,395.64,427.04
158,398.16,429.76
159,400.68,432.48
160,403.2,435.2
161,405.72,437.92
162,408.24,440.64
163,410.76,443.36
164,413.28,446.08
165,415.8,448.8
166,418.32,451.52
167,420.84,454.24
168,423.36,456.96
169,425.88,459.68
170,428.4,462.4
171,430.92,465.12
172,433.44,467.84
173,435.96,470.56
