WeightNotToExceed,202,203,204,205,206,207,208,224,225,226,res
Letter,6.8,7.1,7.4,7.9,8.4,8.7,9.1,12.8,12.8,17.8,1.15
1,7.2,7.3,8,8.8,9.5,10.2,10.5,15.1,15.1,27.4,1.15
2,7.4,7.9,8.7,9.9,11,11.7,12,16.8,16.8,29,1.15
3,8,8.5,9.8,11.2,12.6,13.3,13.7,18.4,18.4,30.5,1.15
4,8.7,9.1,10.8,12.5,14,14.9,15.5,20,20,32.3,1.15
5,9.4,9.8,11.9,13.9,15.7,16.6,17.4,22,22,34.2,1.15
6,9.6,10.6,12.8,15.3,17.5,18.5,19.6,23.9,23.9,36.1,1.15
7,10.2,11.5,13.9,16.6,19.4,20.6,21.7,25.6,25.6,37.8,1.15
8,10.8,12.4,14.9,17.9,21.3,22.7,23.7,27.5,27.5,39.6,1.15
9,11.3,13.3,16,19.4,23.3,24.7,25.8,29.5,29.5,41.5,1.15
10,11.8,14,17.1,20.8,25.3,26.7,27.8,31.4,31.4,43.4,1.15
11,12.3,14.7,18.1,22,27.2,28.7,29.7,33.3,33.3,45.3,1.15
12,13,15.4,19,23.2,29,30.5,31.5,35,35,47.1,1.15
13,13.8,16.2,19.9,24.6,30.6,32,33.2,36.6,36.6,48.7,1.15
14,14.6,17,20.9,26,32.1,33.6,34.8,38.2,38.2,50.2,1.15
15,15.1,17.7,21.9,27.3,33.6,35.2,36.4,39.8,39.8,51.7,1.15
16,15.5,18.2,22.8,28.1,35.1,36.8,38,41.5,41.5,53.3,1.15
17,15.9,18.7,23.7,29.1,36.7,38.6,39.8,43.3,43.3,55.1,1.15
18,16.4,19.3,24.6,30.2,38.4,40.5,41.7,45.2,45.2,57,1.15
19,17,19.9,25.4,31.3,40.1,42.4,43.6,47.1,47.1,58.9,1.15
20,17.6,20.6,26.2,32.4,41.8,44.2,45.4,48.8,48.8,60.7,1.15
21,18.2,21.4,27.1,33.5,43.5,46,47.2,50.3,50.3,62.3,1.15
22,18.8,22.2,28,34.7,45.2,47.8,49,51.8,51.8,63.9,1.15
23,19.4,22.9,28.9,35.9,46.8,49.6,50.8,53.5,53.5,65.5,1.15
24,20,23.6,29.8,37.1,48.4,51.3,52.6,55.3,55.3,67.2,1.15
25,20.6,24.3,30.7,38.3,49.9,53,54.4,57.1,57.1,69,1.15
