WeightNotToExceed,51,52,53,54,55,56
1,8.05,8.1,8.2,13,13.1,13.2
2,8.75,8.8,9,13.8,13.9,14.05
3,9.4,9.45,9.75,14.65,14.7,14.85
4,10.1,10.15,10.45,15.45,15.5,15.65
5,10.75,10.8,11.15,16.2,16.25,16.45
6,11.4,11.45,11.95,16.9,17,17.3
7,12,12.05,12.75,17.6,17.7,18.15
8,12.6,12.65,13.55,18.3,18.4,19.05
9,13.2,13.3,14.35,19,19.15,19.95
10,13.8,13.95,15.05,19.7,19.95,20.85
11,14.35,14.65,15.75,20.45,20.75,21.8
12,14.9,15.3,16.5,21.2,21.55,22.75
13,15.45,15.95,17.25,21.95,22.4,23.75
14,16,16.6,18,22.75,23.25,24.75
15,16.6,17.25,18.75,23.55,24.1,25.75
16,17.25,17.9,19.5,24.4,25,26.7
17,17.9,18.55,20.25,25.25,25.9,27.65
18,18.55,19.2,20.95,26.15,26.8,28.6
19,19.2,19.85,21.65,27.05,27.7,29.55
20,19.8,20.5,22.35,27.95,28.6,30.5
21,20.4,21.15,23.1,28.85,29.5,31.45
22,21,21.8,23.85,29.75,30.4,32.4
23,21.65,22.45,24.6,30.65,31.3,33.35
24,22.3,23.1,25.35,31.55,32.2,34.25
25,22.95,23.75,26.1,32.45,33.1,35.15
26,23.55,24.35,26.85,33.35,34,36.1
27,24.15,24.95,27.6,34.2,34.9,37.05
28,24.75,25.55,28.3,35.05,35.8,38
29,25.35,26.15,29,35.9,36.7,38.95
30,25.95,26.75,29.7,36.75,37.6,39.9
31,26.5,27.35,30.4,37.6,38.5,40.9
32,27.05,28,31.1,38.45,39.4,41.9
33,27.6,28.65,31.8,39.3,40.3,42.9
34,28.2,29.3,32.55,40.1,41.2,43.9
35,28.8,29.95,33.3,40.9,42.1,44.9
36,29.4,30.6,34.05,41.7,42.95,45.95
37,30,31.25,34.8,42.5,43.8,47
38,30.6,31.9,35.55,43.3,44.65,48.05
39,31.2,32.55,36.25,44.05,45.5,49.1
40,31.75,33.2,36.95,44.8,46.4,50.15
41,32.3,33.85,37.6,45.55,47.3,51.2
42,32.85,34.5,38.25,46.3,48.2,52.25
43,33.4,35.1,38.9,47.05,49.1,53.3
44,33.95,35.7,39.55,47.8,50,54.35
45,34.5,36.3,40.2,48.55,50.9,55.4
46,35.05,36.9,40.85,49.3,51.8,56.45
47,35.6,37.5,41.5,50.05,52.7,57.5
48,36.15,38.1,42.15,50.8,53.6,58.55
49,36.7,38.7,42.8,51.55,54.5,59.6
50,37.25,39.3,43.45,52.3,55.4,60.65
51,37.25,39.3,43.45,52.3,55.4,60.65
52,38.45,40.3,44.55,53.4,57.1,62.45
53,38.45,40.3,44.55,53.4,57.1,62.45
54,39.55,41.2,45.65,54.5,58.75,64.25
55,39.55,41.2,45.65,54.5,58.75,64.25
56,40.55,42.05,46.75,55.6,60.35,66
57,40.55,42.05,46.75,55.6,60.35,66
58,41.45,42.85,47.8,56.7,61.95,67.75
59,41.45,42.85,47.8,56.7,61.95,67.75
60,42.25,43.55,48.8,57.8,63.55,69.5
61,42.25,43.55,48.8,57.8,63.55,69.5
62,43,44.2,49.8,58.9,65.15,71.2
63,43,44.2,49.8,58.9,65.15,71.2
64,43.75,44.85,50.8,60,66.75,72.9
65,43.75,44.85,50.8,60,66.75,72.9
66,44.45,45.5,51.8,61.1,68.25,74.6
67,44.45,45.5,51.8,61.1,68.25,74.6
68,45.15,46.15,52.8,62.2,69.75,76.3
69,45.15,46.15,52.8,62.2,69.75,76.3
70,45.85,46.75,53.8,63.3,71.25,78
71,45.85,46.75,53.8,63.3,71.25,78
72,46.55,47.9,54.95,64.4,72.85,80.5
73,46.55,47.9,54.95,64.4,72.85,80.5
74,47.2,49.05,56.1,65.6,74.45,82.9
75,47.2,49.05,56.1,65.6,74.45,82.9
76,47.85,50.2,57.25,66.9,76.15,85.2
77,47.85,50.2,57.25,66.9,76.15,85.2
78,48.45,51.35,58.4,68.3,77.85,87.4
