"Zone Chart for Express Plus, Express and Expedited shipments to Canada",,,,

"To determine the zone, use the first three characters of the destination Postal Code",,,,
and refer to the Canada Zone Chart below.,,,,
Locate the zone for the selected service level (Express or Expedited),,,,
"Refer to Express for Express Plus.  To determine whether Express Plus service is available to your destination postal code, ",,,,
call 800-782-7892.  ,,,,
"A Surcharge applies to your destination postal code when a ""Y"" is shown in the Extended Area Surcharge (EAS) column.",,,,

Postal Range,,Express ,Expedited,EAS
A0A,A0Z,81,71,Y
A1A,A1N,82,72,N
A1P,A9Z,81,71,Y
B0A,B2T,81,71,Y
B2V,B3B,82,72,N
B3C,B3G,81,71,Y
B3H,B4B,82,72,N
B4C,B9Z,81,71,Y
C0A,C0Z,81,71,Y
C1A,C1E,82,72,N
C1G,C9Z,81,71,Y
E0A,E0Z,81,71,Y
E1A,E1G,82,72,N
E1H,E2G,81,71,Y
E2H,E2S,82,72,N
E2T,E2Z,81,71,Y
E3A,E3E,82,72,N
E3G,E9Z,81,71,Y
G0A,G0A,82,72,N
G0B,G0J,81,71,Y
G0K,G0S,82,72,N
G0T,G0W,81,71,Y
G0X,G0Z,82,72,N
G1A,G3A,81,71,N
G3B,G4Q,82,72,N
G4R,G4S,81,71,Y
G4T,G4V,82,72,N
G4W,G4Z,81,71,Y
G5A,G5A,82,72,N
G5B,G5T,81,71,Y
G5V,G6A,82,72,N
G6B,G6B,81,71,Y
G6C,G6J,82,72,N
G6K,G6K,81,71,N
G6L,G6T,82,72,N
G6V,G7A,81,71,N
G7B,G8P,81,71,Y
G8R,G9Z,82,72,N
H0A,H0L,81,71,N
H0M,H0M,81,71,N
H0N,H9Z,81,71,N
J0A,J0L,82,72,N
J0M,J0M,81,71,Y
J0N,J0V,82,72,N
J0W,J0W,81,71,Y
J0X,J0Z,81,71,Y
J1A,J3C,82,72,N
J3E,J3E,81,71,N
J3G,J3S,82,72,N
J3T,J3V,81,71,N
J3W,J3X,82,72,N
J3Y,J5R,81,71,N
J5S,J5X,82,72,N
J5Y,J7H,81,71,N
J7J,J7N,82,72,N
J7P,J7W,81,71,N
J7X,J8N,82,72,N
J8P,J9C,81,71,N
J9E,J9J,82,72,N
J9K,J9Z,81,71,Y
K0A,K0H,82,72,N
K0J,K0J,81,71,Y
K0K,K0Z,82,72,N
K1A,K4A,81,71,N
K4B,K7T,82,72,N
K7V,L1E,82,72,N
L1G,L1Z,81,71,N
L2A,L2C,82,72,N
L2E,L2W,81,71,N
L2X,L3N,82,72,N
L3P,L3T,81,71,N
L3V,L3W,82,72,N
L3X,L4L,81,71,N
L4M,L4R,82,72,N
L4S,L9T,81,71,N
L9V,L9Z,82,72,N
M0A,M9Z,81,71,N
N0A,N1A,82,72,N
N1B,N1Z,81,71,N
N2A,N2Y,81,71,N
N2Z,N2Z,82,72,N
N3A,N3V,81,71,N
N3W,N5T,82,72,N
N5V,N6N,81,71,N
N6P,N8M,82,72,N
N8N,N9K,81,71,N
N9L,N9Z,82,72,N
P0A,P0Z,81,71,Y
P1A,P2M,82,72,N
P2N,P2N,81,71,Y
P2O,P3K,82,72,N
P3L,P3L,81,71,Y
P3M,P3M,82,72,N
P3N,P3P,81,71,Y
P3Q,P4M,82,72,N
P4N,P4R,81,71,Y
P4S,P4Z,82,72,N
P5A,P5A,81,71,Y
P5B,P5M,82,72,N
P5N,P5N,81,71,Y
P5O,P8M,82,72,N
P8N,P8N,81,71,Y
P8O,P8S,82,72,N
P8T,P8T,81,71,Y
P8U,P8Z,82,72,N
P9A,P9A,81,71,Y
P9B,P9M,82,72,N
P9N,P9N,81,71,Y
P9O,P9Z,82,72,N
R0A,R2B,81,71,Y
R2C,R4A,81,71,N
R4B,R9Z,81,71,Y
S0A,S0Z,81,71,Y
S1A,S3M,82,72,N
S3N,S3N,81,71,Y
S3O,S3Z,82,72,N
S4A,S4A,81,71,Y
S4B,S4G,82,72,N
S4H,S4H,81,71,Y
S4I,S4Z,82,72,N
S5A,S7G,81,71,Y
S7H,S7V,81,71,N
S7W,S9Z,81,71,Y
T0A,T0B,81,71,Y
T0C,T0C,82,72,N
T0E,T1W,81,71,Y
T1X,T3Z,81,71,N
T4A,T4Z,82,72,N
T5A,T6X,81,71,N
T6Y,T7W,81,71,Y
T7X,T8N,82,72,N
T8P,T8Z,81,71,Y
T9A,T9E,82,72,N
T9G,T9Z,81,71,Y
V0A,V0L,81,71,Y
V0M,V0M,81,71,Y
V0N,V1L,81,71,Y
V1M,V1M,81,71,N
V1N,V2R,81,71,Y
V2S,V7Z,81,71,N
V8A,V8K,81,71,Y
V8L,V9E,82,72,N
V9G,V9Z,81,71,Y
X0A,X9Z,81,71,Y
Y0A,Y9Z,81,71,Y
